Career_Path,Python_Skill,Java_Skill,JavaScript_Skill,SQL_Skill,C++_Skill,R_Skill,Machine_Learning_Skill,Deep_Learning_Skill,NLP_Skill,Computer_Vision_Skill,React_Skill,Node.js_Skill,Django_Skill,FastAPI_Skill,Docker_Skill,AWS_Skill,Azure_Skill,GCP_Skill,Kubernetes_Skill,Terraform_Skill,TensorFlow_Skill,PyTorch_Skill,Scikit-learn_Skill,Pandas_Skill,NumPy_Skill,System_Design_Skill,Data_Structures_Skill,Algorithms_Skill,Statistics_Skill,Linear_Algebra_Skill,CGPA,Experience_Years,Primary_Interest,Secondary_Interest,Personality_Type,Education_Level,Certifications,Projects_Completed,GitHub_Repos,Hackathons,Internships,Expected_Salary,Job_Market_Demand,Satisfaction_Score
Full Stack Developer,6,1,7,5,6,1,1,4,3,4,10,10,7,5,7,2,2,1,2,3,5,2,3,2,5,5,4,1,2,1,9.47,3,Cloud Computing,AR/VR,Collaborative,BCA,2,11,22,3,2,260000,10,64
Blockchain Developer,9,1,9,5,8,1,1,4,1,5,3,5,2,1,7,7,6,4,1,6,1,1,3,3,5,6,8,7,3,3,6.45,3,Mobile Apps,AR/VR,Analytical,MCA,4,5,32,1,2,300000,10,92
Blockchain Developer,6,2,10,3,9,1,3,1,4,1,2,4,3,4,5,6,4,2,4,6,2,1,1,3,4,4,6,8,1,1,8.06,2,AR/VR,Cybersecurity,Innovative,B.Sc,7,7,50,7,3,100000,5,66
Mobile Developer,6,9,6,2,1,1,4,3,3,4,5,6,1,3,1,3,5,3,1,2,4,4,6,3,2,1,9,7,1,6,8.01,4,Mobile Apps,AI/ML,Innovative,B.Tech,2,2,38,1,1,160000,5,96
Cloud Architect,7,3,2,7,5,2,2,4,2,4,1,6,3,3,10,8,6,8,8,10,5,3,5,1,1,10,2,5,2,2,8.02,2,AI/ML,Web Development,Collaborative,M.Tech,4,1,0,5,1,240000,7,70
Product Manager,6,3,1,9,1,7,3,1,3,1,1,1,6,4,1,3,1,4,2,1,2,3,3,3,1,7,4,1,7,6,8.72,4,Blockchain,AI/ML,Analytical,BCA,2,8,2,1,3,150000,10,80
Mobile Developer,7,9,7,1,2,7,2,2,5,1,9,4,4,5,1,5,4,5,6,1,2,6,5,5,3,6,5,9,5,1,8.69,1,Cybersecurity,Mobile Apps,Analytical,B.Tech,3,15,39,1,3,170000,10,96
Cloud Architect,5,3,1,2,1,6,3,1,3,6,7,4,7,6,8,10,7,10,8,10,1,2,3,3,1,10,1,2,4,6,7.66,1,IoT,IoT,Innovative,MCA,0,12,30,0,2,130000,8,86
UI/UX Designer,5,3,7,5,2,4,3,4,3,6,6,2,3,1,4,2,4,4,4,1,2,3,2,1,1,1,4,1,3,4,7.86,2,Blockchain,Mobile Apps,Innovative,M.Sc,1,5,19,1,0,130000,9,84
Mobile Developer,3,7,8,3,3,5,4,3,1,5,8,4,3,4,5,6,5,5,2,1,3,6,6,1,4,3,7,7,5,5,6.04,1,Web Development,Cybersecurity,Collaborative,M.Tech,7,7,44,7,3,180000,5,65
Cybersecurity Analyst,8,6,5,6,7,6,3,4,3,1,2,3,1,3,5,7,1,2,2,2,3,2,1,5,3,6,7,9,4,1,7.01,3,Web Development,Web Development,Detail-oriented,M.Tech,1,1,9,2,2,60000,6,67
UI/UX Designer,5,7,9,5,4,6,5,3,3,1,6,1,4,1,2,6,4,1,3,2,2,4,2,4,2,1,1,5,5,2,7.87,2,IoT,Cloud Computing,Innovative,M.Sc,7,14,5,9,0,170000,10,80
Blockchain Developer,5,1,10,1,6,3,6,2,6,2,4,4,1,2,5,6,3,2,3,1,6,3,5,1,5,6,6,9,4,4,9.52,3,Web Development,AI/ML,Collaborative,M.Sc,3,5,19,8,0,210000,8,65
Cloud Architect,2,1,4,5,5,3,6,3,4,4,1,4,5,1,10,10,9,9,9,10,5,2,4,3,2,10,5,3,1,7,7.33,0,AR/VR,Web Development,Innovative,M.Tech,0,4,26,10,1,60000,8,76
DevOps Engineer,8,1,6,4,3,3,2,1,2,2,2,1,1,3,10,7,6,4,8,10,6,3,4,3,4,6,4,4,2,5,7.2,3,Cloud Computing,AR/VR,Leadership,B.Sc,6,15,6,3,3,220000,7,96
Cybersecurity Analyst,5,6,3,3,7,4,2,4,2,1,4,3,2,1,4,1,4,5,5,2,4,1,2,1,6,6,5,10,2,3,8.34,5,Blockchain,Web Development,Collaborative,B.Sc,7,0,39,8,2,230000,6,64
Product Manager,6,1,1,8,1,7,3,4,6,4,2,6,4,1,3,3,1,5,1,4,1,2,4,1,2,10,1,4,6,2,9.1,4,AI/ML,Cloud Computing,Creative,B.Sc,8,8,11,1,0,80000,5,82
Cloud Architect,5,1,1,3,3,2,4,7,2,4,3,5,2,2,10,10,6,8,8,8,5,7,4,7,4,10,2,3,3,3,7.66,3,IoT,IoT,Collaborative,B.Tech,5,13,20,10,2,150000,6,90
Full Stack Developer,4,2,9,9,3,7,1,4,2,5,9,10,6,7,5,5,1,5,3,7,7,3,1,2,3,1,1,6,1,1,8.98,1,IoT,IoT,Detail-oriented,BCA,2,11,19,5,0,50000,6,70
Blockchain Developer,5,4,9,6,8,4,1,2,5,6,1,3,3,1,2,5,3,1,5,1,6,4,5,2,2,2,8,10,6,4,6.46,0,Blockchain,Mobile Apps,Innovative,M.Tech,5,2,27,1,1,170000,9,85
UI/UX Designer,4,3,7,1,3,7,2,2,1,2,7,4,1,5,7,6,5,2,2,5,3,3,5,1,5,1,3,1,7,6,7.85,4,AI/ML,AR/VR,Innovative,MCA,3,10,38,7,1,50000,8,66
DevOps Engineer,9,1,3,6,7,2,3,5,5,1,1,3,4,5,9,10,2,4,10,9,6,2,3,6,1,8,1,4,1,1,6.31,0,Data Analytics,Data Analytics,Collaborative,M.Sc,0,10,49,9,1,230000,8,69
AI/ML Engineer,10,3,2,2,6,4,10,9,7,10,5,4,7,3,4,2,2,5,3,1,8,10,4,2,3,1,2,6,2,2,7.5,0,Blockchain,Web Development,Collaborative,MCA,5,4,8,0,2,300000,8,68
Product Manager,7,1,1,6,7,6,1,2,1,3,6,1,6,3,7,1,4,3,2,6,1,5,3,7,7,9,2,4,5,1,7.38,5,Web Development,Product Design,Collaborative,BCA,2,1,22,8,2,300000,10,71
Product Manager,4,1,2,6,1,5,5,6,4,1,3,1,1,4,5,4,3,4,5,2,2,4,5,1,1,8,6,3,7,2,8.91,2,Product Design,IoT,Leadership,MCA,0,2,42,10,3,150000,9,70
Data Scientist,10,2,1,8,4,3,8,7,4,3,4,4,3,1,1,6,6,1,4,4,8,1,1,8,6,3,3,5,8,2,8.04,0,Cybersecurity,Mobile Apps,Creative,M.Tech,0,11,35,9,2,180000,9,68
Blockchain Developer,5,4,10,5,6,2,2,6,2,7,1,6,1,4,2,5,2,5,1,4,2,5,3,4,7,1,10,10,1,1,9.79,4,Cloud Computing,Cybersecurity,Innovative,M.Tech,0,15,40,8,2,240000,7,90
Cloud Architect,4,2,1,5,5,2,4,3,4,2,7,1,3,1,8,7,8,10,8,9,5,1,6,5,4,7,6,3,4,1,6.2,3,Product Design,AR/VR,Leadership,M.Sc,0,3,27,2,2,270000,7,85
DevOps Engineer,8,3,4,5,1,6,6,5,3,1,4,5,2,4,10,6,1,2,10,8,7,2,5,3,5,8,7,6,5,2,7.47,5,Web Development,IoT,Innovative,BCA,0,15,16,10,1,270000,5,97
Product Manager,7,6,1,9,1,6,4,3,3,7,2,4,4,4,6,2,6,5,3,6,1,5,2,3,3,9,5,3,9,6,9.58,3,Blockchain,Mobile Apps,Leadership,B.Tech,4,2,22,7,2,270000,8,73
Cloud Architect,5,5,1,7,1,3,1,1,4,2,1,4,5,3,9,7,10,10,8,8,2,3,1,1,7,9,4,7,3,6,7.09,0,Blockchain,Mobile Apps,Collaborative,M.Tech,4,5,0,5,2,220000,10,72
AI/ML Engineer,10,6,1,2,1,4,7,10,9,8,5,3,3,1,2,2,6,1,3,4,8,8,6,4,6,4,4,3,6,1,9.67,0,AI/ML,Data Analytics,Innovative,B.Sc,8,4,10,5,3,70000,10,73
Blockchain Developer,5,6,9,4,9,3,6,1,4,1,3,2,1,3,2,5,3,3,4,5,2,4,1,4,6,1,6,10,6,6,9.29,1,AR/VR,Blockchain,Creative,BCA,3,3,2,10,3,230000,5,75
Cloud Architect,1,3,6,1,2,3,4,1,5,4,5,5,2,4,10,9,10,7,10,7,4,5,5,2,3,10,1,2,2,6,9.87,4,Data Analytics,Mobile Apps,Detail-oriented,B.Sc,4,6,21,10,0,180000,7,65
UI/UX Designer,1,4,9,1,4,4,3,3,1,1,7,4,3,5,4,6,3,3,6,2,4,2,4,3,1,1,7,6,4,2,6.92,4,Cybersecurity,AR/VR,Innovative,MCA,5,8,48,7,3,180000,6,82
AI/ML Engineer,10,3,3,3,1,2,8,8,7,9,1,7,5,1,7,2,3,5,1,6,7,10,1,4,5,3,2,4,6,1,7.2,0,AI/ML,Web Development,Detail-oriented,M.Tech,6,15,3,10,0,260000,6,65
Product Manager,5,3,3,6,6,3,1,7,1,1,4,3,1,4,4,6,4,1,5,1,3,1,7,6,1,9,3,5,8,4,8.64,0,Product Design,Cloud Computing,Creative,MCA,1,2,17,2,3,260000,10,69
Mobile Developer,5,6,8,4,1,1,3,6,7,2,5,5,3,5,2,4,2,4,7,3,1,3,4,1,3,4,8,7,2,6,8.47,3,Web Development,Mobile Apps,Leadership,B.Tech,6,10,39,6,2,180000,7,87
Blockchain Developer,7,5,9,2,8,4,4,4,4,1,4,7,4,2,3,3,5,2,2,3,2,6,6,6,6,3,10,7,1,2,8.59,0,Product Design,IoT,Leadership,M.Tech,1,0,6,4,1,200000,10,93
UI/UX Designer,5,3,8,6,4,1,2,4,1,2,8,3,6,4,2,4,1,1,1,1,4,4,2,6,3,3,3,2,4,6,7.72,0,Cybersecurity,Cybersecurity,Leadership,MCA,1,3,34,2,2,140000,6,89
Full Stack Developer,7,5,10,8,3,3,6,2,7,1,7,9,6,5,8,6,4,5,3,4,4,4,1,4,3,1,3,3,7,5,8.74,3,AR/VR,AR/VR,Creative,B.Tech,0,7,18,0,2,110000,9,78
AI/ML Engineer,10,6,3,3,5,5,10,8,6,8,2,3,2,1,4,5,3,4,1,3,10,10,4,3,5,5,1,2,2,1,6.58,2,Cybersecurity,IoT,Detail-oriented,B.Sc,4,13,24,7,0,240000,5,85
UI/UX Designer,3,5,9,1,4,3,3,3,4,3,10,4,6,1,1,2,1,5,2,1,2,1,3,1,1,4,3,1,4,2,6.53,1,Data Analytics,AR/VR,Analytical,B.Tech,5,3,27,2,3,60000,6,84
Full Stack Developer,4,3,8,6,1,7,3,3,2,3,10,7,6,8,7,4,1,1,4,7,5,1,4,7,3,1,3,2,3,3,8.11,0,Blockchain,Blockchain,Creative,M.Tech,6,11,34,10,1,280000,8,64
Data Scientist,7,1,1,9,5,6,10,9,7,2,1,3,1,5,6,1,3,1,2,2,9,1,1,8,7,4,7,2,8,1,9.09,0,Blockchain,IoT,Leadership,M.Sc,1,8,45,9,0,190000,8,92
